timestamp,vesc_id,duty_cycle
1753359797.218682289,46,0.0140
1753359797.222567320,28,0.0140
1753359797.238636255,46,0.0140
1753359797.242502213,28,0.0140
1753359797.258703709,46,0.0140
1753359797.262367487,28,0.0140
1753359797.279005289,46,0.0140
1753359797.282763004,28,0.0090
1753359797.298488855,46,0.0090
1753359797.302300930,28,0.0090
1753359797.318888664,46,0.0090
1753359797.322417259,28,0.0090
1753359797.339258432,46,0.0090
1753359797.342961311,28,0.0090
1753359797.358405113,46,0.0090
1753359797.362675667,28,0.0090
1753359797.378577709,46,0.0090
1753359797.382515669,28,0.0090
1753359797.398602247,46,0.0090
1753359797.402348995,28,0.0090
1753359797.418253422,46,0.0090
1753359797.422425270,28,0.0090
1753359797.438782692,46,0.0090
1753359797.442384481,28,0.0090
1753359797.458086967,46,0.0090
1753359797.461997509,28,0.0090
1753359797.478444815,46,0.0090
1753359797.481997967,28,0.0040
1753359797.498500586,46,0.0040
1753359797.502583504,28,0.0040
1753359797.518094063,46,-0.0040
1753359797.522023678,28,0.0040
1753359797.538337231,46,-0.0040
1753359797.542301416,28,0.0020
1753359797.558256149,46,-0.0040
1753359797.562232733,28,0.0040
1753359797.577815533,46,0.0040
1753359797.581803560,28,0.0040
1753359797.598286867,46,0.0040
1753359797.602030516,28,0.0020
1753359797.617824554,46,-0.0040
1753359797.621746778,28,0.0040
1753359797.637833357,46,-0.0040
1753359797.641725540,28,0.0040
1753359797.657909393,46,-0.0040
1753359797.661956787,28,0.0040
1753359797.677708626,46,-0.0040
1753359797.681814671,28,0.0040
1753359797.697546482,46,0.0000
1753359797.701582670,28,0.0000
1753359797.717511892,46,0.0000
1753359797.721503973,28,0.0000
1753359797.737367868,46,0.0000
1753359797.741446733,28,0.0000
1753359797.757771969,46,0.0000
1753359797.761974096,28,0.0000
1753359797.777563095,46,0.0000
1753359797.782094240,28,0.0000
1753359797.797394037,46,0.0000
1753359797.801429510,28,0.0000
1753359797.818112373,46,0.0000
1753359797.822423220,28,0.0000
1753359797.837275028,46,0.0000
1753359797.841335535,28,0.0000
1753359797.857386351,46,0.0000
1753359797.861309528,28,0.0000
1753359797.877165794,46,0.0000
1753359797.881852388,28,0.0000
1753359797.897184372,46,-0.0050
1753359797.901275396,28,-0.0040
1753359797.917390347,46,-0.0050
1753359797.921263456,28,-0.0050
1753359797.937358856,46,-0.0040
1753359797.941658974,28,-0.0050
1753359797.957038641,46,-0.0040
1753359797.961022615,28,-0.0040
1753359797.977034330,46,-0.0050
1753359797.981476784,28,-0.0050
1753359797.996873140,46,-0.0050
1753359798.001163960,28,-0.0040
1753359798.017101049,46,-0.0040
1753359798.021088839,28,-0.0040
1753359798.037107944,46,-0.0040
1753359798.041277647,28,-0.0040
1753359798.056806087,46,-0.0050
1753359798.060925484,28,-0.0040
1753359798.077664852,46,-0.0040
1753359798.080825567,28,-0.0040
1753359798.096853733,46,-0.0090
1753359798.101205826,28,-0.0090
1753359798.116649151,46,-0.0100
1753359798.120741129,28,-0.0100
1753359798.137226343,46,-0.0090
1753359798.140976191,28,-0.0100
1753359798.156845093,46,-0.0090
1753359798.161219120,28,-0.0060
1753359798.176377296,46,-0.0100
1753359798.180720091,28,-0.0090
1753359798.196981430,46,-0.0100
1753359798.200967073,28,-0.0100
1753359798.216441393,46,-0.0090
1753359798.220502615,28,-0.0100
1753359798.236314774,46,-0.0090
1753359798.240504742,28,-0.0100
1753359798.256831646,46,-0.0090
1753359798.260871887,28,-0.0090
1753359798.276131868,46,-0.0100
1753359798.280395985,28,-0.0100
1753359798.296606541,46,-0.0150
1753359798.300390959,28,-0.0150
1753359798.316244125,46,-0.0150
1753359798.320490837,28,-0.0150
1753359798.336086750,46,-0.0150
1753359798.340294838,28,-0.0140
1753359798.356574774,46,-0.0080
1753359798.360651970,28,-0.0040
