timestamp,vesc_id,tachometer_raw
1753360025.484287262,28,10352
1753360025.497657061,46,10376
1753360025.504095316,28,10354
1753360025.518101215,46,10378
1753360025.524077654,28,10356
1753360025.537622690,46,10380
1753360025.544046640,28,10358
1753360025.557614326,46,10382
1753360025.564064503,28,10361
1753360025.577497959,46,10385
1753360025.583994389,28,10363
1753360025.597432613,46,10387
1753360025.603956461,28,10365
1753360025.617375374,46,10389
1753360025.623855114,28,10367
1753360025.637439728,46,10391
1753360025.643841028,28,10369
1753360025.657454252,46,10393
1753360025.664016962,28,10371
1753360025.677281618,46,10395
1753360025.683807373,28,10374
1753360025.697215319,46,10397
1753360025.703849077,28,10376
1753360025.717200279,46,10399
1753360025.723904610,28,10378
1753360025.737153292,46,10402
1753360025.743711233,28,10380
1753360025.757297516,46,10404
1753360025.763867140,28,10382
1753360025.777049303,46,10406
1753360025.783940077,28,10384
1753360025.797063828,46,10408
1753360025.803519249,28,10386
1753360025.816976786,46,10410
1753360025.823510170,28,10389
1753360025.836910963,46,10412
1753360025.843584299,28,10391
1753360025.857447624,46,10414
1753360025.863395691,28,10393
1753360025.876772165,46,10416
1753360025.883470058,28,10395
1753360025.896769524,46,10418
1753360025.903420925,28,10397
1753360025.917057037,46,10420
1753360025.923383713,28,10399
1753360025.936818838,46,10422
1753360025.944110155,28,10401
1753360025.956551313,46,10424
1753360025.963201284,28,10403
1753360025.977391720,46,10426
1753360025.983286619,28,10405
1753360025.996597767,46,10428
1753360026.003662586,28,10407
1753360026.016492367,46,10430
1753360026.023158789,28,10409
1753360026.036429167,46,10432
1753360026.043171167,28,10411
1753360026.056359053,46,10434
1753360026.063264608,28,10413
1753360026.076364517,46,10436
1753360026.083156109,28,10415
1753360026.096344471,46,10438
1753360026.103113651,28,10417
1753360026.116296291,46,10440
1753360026.122960806,28,10419
1753360026.136207342,46,10442
1753360026.142956972,28,10420
1753360026.156132936,46,10443
1753360026.163373709,28,10423
1753360026.176096201,46,10445
1753360026.182847977,28,10424
1753360026.196024656,46,10447
1753360026.202872753,28,10426
1753360026.215960026,46,10449
1753360026.222756147,28,10428
1753360026.235979319,46,10451
1753360026.242835045,28,10430
1753360026.256111860,46,10453
1753360026.262873650,28,10432
1753360026.276016474,46,10455
1753360026.282742023,28,10434
1753360026.296481133,46,10456
1753360026.302672386,28,10435
1753360026.316367149,46,10458
1753360026.322921991,28,10437
1753360026.339431763,46,10460
1753360026.342690229,28,10439
1753360026.356204510,46,10462
1753360026.362485409,28,10441
1753360026.375564575,46,10464
1753360026.382504463,28,10443
1753360026.396186590,46,10465
1753360026.402469635,28,10445
1753360026.415575743,46,10467
1753360026.422445774,28,10446
1753360026.435463905,46,10469
1753360026.442967653,28,10448
1753360026.455459356,46,10471
1753360026.462330341,28,10450
1753360026.475725889,46,10472
1753360026.482382536,28,10452
1753360026.495317459,46,10474
1753360026.502329588,28,10453
1753360026.515343428,46,10476
1753360026.522314548,28,10455
1753360026.535279274,46,10478
1753360026.542222261,28,10457
1753360026.555218220,46,10479
1753360026.562220335,28,10459
1753360026.575190783,46,10481
1753360026.582201004,28,10460
1753360026.595471621,46,10483
1753360026.602560520,28,10462
1753360026.615214348,46,10484
1753360026.622161388,28,10464
1753360026.635217428,46,10486
1753360026.642255068,28,10465
1753360026.655093193,46,10487
1753360026.662601233,28,10467
1753360026.674954891,46,10489
1753360026.682160139,28,10469
1753360026.694849253,46,10491
1753360026.702223301,28,10470
1753360026.714814663,46,10492
1753360026.722114801,28,10472
1753360026.735192060,46,10494
1753360026.742052078,28,10473
1753360026.754928589,46,10496
1753360026.762170076,28,10475
1753360026.774686575,46,10497
1753360026.781957150,28,10477
1753360026.794732571,46,10499
1753360026.801839590,28,10478
1753360026.815420389,46,10500
1753360026.821882486,28,10480
1753360026.834509373,46,10502
1753360026.841878891,28,10481
1753360026.854480267,46,10503
1753360026.861740351,28,10483
1753360026.874430418,46,10505
1753360026.881760359,28,10484
1753360026.894421577,46,10506
1753360026.901743650,28,10486
1753360026.914570332,46,10508
1753360026.921884775,28,10488
1753360026.934351206,46,10509
1753360026.942937136,28,10489
1753360026.954258442,46,10511
1753360026.961554289,28,10491
1753360026.974441290,46,10512
1753360026.981565237,28,10492
1753360026.994165421,46,10514
1753360027.001519442,28,10494
1753360027.014247656,46,10515
1753360027.021409035,28,10495
1753360027.034077168,46,10517
1753360027.041366577,28,10497
